RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] is produced by [Y].	:iphone is produced by Apple	produce	produce-by	present	N-1
[X] was produced by [Y].	:iphone was produced by Apple	produce	produce-by	past	N-1
[X] is developed by [Y].	iphone is developed by Apple.	develop	develop-by	present	N-1
[X] was developed by [Y].	iphone is developed by Apple.	develop	develop-by	past	N-1
[X], developed by [Y]	iphone-8, developed by Apple.	develop	develop-by	?	N-1
[X], produced by [Y]	iphone-8, developed by Apple.	produce	produce-by	?	N-1
[X] is created by [Y].	:iphone is produced by Apple	create	create-by	present	N-1
[X] was created by [Y].	:iphone was produced by Apple	create	create-by	past	N-1
[X], created by [Y].	iphone-8, developed by Apple.	create	create-by	?	N-1
[X] is a product of [Y].	:iphone is a product of Apple	product	is-product-of	present	N-1
[X] was a product of [Y].	:iphone is a product of Apple	product	is-product-of	past	N-1
[X], a product of [Y],	:iphone, a product of Apple	product	product-of	?	N-1
[X], a product created by [Y],	:iphone, a product created by Apple	product	product-release-by	?	N-1
[X], a product developed by [Y],	:iphone, a product developed by Apple	product	product-develope-by	?	N-1
[Y], that developed [X]	apple, that developed iphone	developed	that-develope	past	N-1
[Y], that produced [X]	apple, that produced iphone	produce	that-produce	past	N-1
[Y], that created [X]	apple, that created iphone	create	that-create	past	N-1
[Y], the creator of the [X]	apple, the creator of the iphone	creator	creator-of	?	N-1
[Y] and its product [X]	apple and its product iphone	product	its-product	?	N-1
