RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE
[X] was born in [Y].	Williams did not prove that [X]:his mother :was :born in the [Y]:United States.	born	born-in	past	N-1
[X] is originally from [Y].	[X]:He :is :originally from :Thailand but grew up in the Shetlands.	from	is-originally-from	present	N-1
[X] was originally from [Y].	[X]:He :was :originally from :Thailand but grew up in the Shetlands.	from	is-originally-from	past	N-1
[Y] is the country of origin of [X].	 the US government released Hamdi, stripped him of his US citizenship and sent [X]:him to his :country :of :origin, [Y]:Saudi Arabia.	country-of-origin	is-counry-of-origin	present	N-1
[Y] was the country of origin of [X].	 the US government released Hamdi, stripped him of his US citizenship and sent [X]:him to his :country :of :origin, [Y]:Saudi Arabia.	country-of-origin	is-counry-of-origin	past	N-1
The country of origin of [X] is [Y].	 :The :country :of :origin of [X]:Hamdi is [Y]:Saudi Arabia.	country-of-origin	country-of-origin-is	present	N-1
The country of origin of [X] was [Y].	 :The :country :of :origin of [X]:Hamdi was [Y]:Saudi Arabia.	country-of-origin	country-of-origin-is	past	N-1
[X] is native to [Y].	[X]:He :is :native :to [Y]:Connecticut.	native	is-native-to	present	N-1
[X] was native to [Y].	[X]:He :was :native :to [Y]:Connecticut.	native	is-native-to	past	N-1
[X] originated from [Y].	Mr. Wright's Portuguese identification card said [X]:he :originated :from [Y]:Guinea-Bissau, a West African nation.	originate	originate-from	past	N-1
[X] immigrated from his native [Y].	[X]:He :immigrated :from :his :native [Y]:France to seek business opportunities in America	immigrate	immigrate-from-his-native	past	N-1
[X] was a [Y]-born person.	[X]:Claudette Colbert :was :a [Y]:France-born American actress.	born	born	past	N-1
[X] is a [Y]-born person.	[X]:Claudette Colbert :is :a [Y]:France-born American actress.	born	born	present	N-1
[X], a [Y]-born person.	[X]:Claudette Colbert, :a [Y]:France-born American actress.	born	born	present	N-1
