RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] works for [Y] .		works-for	works-for	present	N-M
[X], who works for [Y].		who-works-for	who-works-for	present	N-M
[X] is employed by [Y].		employed-by	employed-by	present	N-M
[X], who is employed by [Y].		who-employed-by	who-employed-by	present	N-M
[Y] CEO [X].		CEO	CEO	present	N-M
[X] is the CEO of [Y].		is-CEO	is-CEO	present	N-M
[X], who is the CEO of [Y].		who-is-CEO	who-is-CEO	present	N-M
[X] is a professor at [Y].		professor	professor	present	N-M
[X], who is a professor at [Y].		who-professor	who-professor	present	N-M
[X] is a television commentator at [Y].		commentator-at	commentator-at	present	N-M
[X] is a television commentator with [Y].		commentator-with	commentator-with	present	N-M
[X] is a presenter at [Y].		presenter-at	presenter-at	present	N-M
[X] is a presenter on [Y].		presenter-on	presenter-on	present	N-M
[X] is a presenter with the [Y].		presenter-with-the	presenter-with	present	N-M
[X] is a presenter with [Y].		presenter-with	presenter-with	present	N-M
[X] is the chief technical officer at [Y].		chief-technical	chief-technical	present	N-M
[X] is the CTO of [Y].		cto	cto	present	N-M
[X] is a director at [Y].		director	director	present	N-M
[X] is a correspondent at [Y].		correspondent	correspondent	present	N-M
[X], who is a television commentator at [Y].		who-commentator-at	who-commentator-at	present	N-M
[X], who is a television commentator with [Y].		who-commentator-with	who-commentator-with	present	N-M
[X], who is a presenter at [Y].		who-presenter-at	who-presenter-at	present	N-M
[X], who is a presenter on [Y].		who-presenter-on	who-presenter-on	present	N-M
[X], who is a presenter with the [Y].		who-presenter-with-the	who-presenter-with	present	N-M
[X], who is a presenter with [Y].		who-presenter-with	who-presenter-with	present	N-M
[X], who is the chief technical officer at [Y].		who-chief-technical	who-chief-technical	present	N-M
[X], who is the CTO of [Y].		who-cto	who-cto	present	N-M
[X], who is a director at [Y].		who-director	who-director	present	N-M
[X], who is a correspondent at [Y].		who-correspondent	who-correspondent	present	N-M
[X] is a journalist at [Y].		journalist	journalist	present	N-M
[X], who is a journalist at [Y].		who-journalist	who-journalist	present	N-M
