comprise	+/comprise-of,is-part-of,is-building-block,is-component-of,consist-of,make-of
comprise-of	+/comprise,is-part-of,is-building-block,is-component-of,consist-of,make-of
is-part-of	+/
is-building-block	+/is-part-of,is-component-of
is-component-of	+/is-part-of,is-building-block
consist-of	+/comprise,comprise-of,is-part-of,is-building-block,is-component-of,make-of
make-of	+/comprise,comprise-of,is-part-of,is-building-block,is-component-of,consist-of
is-ingredient-in	+/is-part-of,is-building-block,is-component-of
is-create-out	+/is-part-of
subfield	+/discipline,branch,is-part-of
discipline	+/is-part-of,branch,subfield
branch	+/is-part-of,subfield,discipline
