works-for	+/who-works-for,employed-by,who-employed-by
who-works-for	+/works-for,employed-by,who-employed-by
employed-by	+/who-works-for,works-for,who-employed-by
who-employed-by	+/who-works-for,employed-by,works-for
CEO	+/works-for,who-works-for,employed-by,who-employed-by,is-CEO,who-is-CEO
is-CEO	+/works-for,who-works-for,employed-by,who-employed-by,CEO,who-is-CEO
who-is-CEO	+/works-for,who-works-for,employed-by,who-employed-by,CEO,is-CEO
professor	+/works-for,who-works-for,employed-by,who-employed-by,who-professor
who-professor	+/works-for,who-works-for,employed-by,who-employed-by,professor
commentator-at	+/works-for,who-works-for,employed-by,who-employed-by,commentator-at,who-commentator-at,who-commentator-with
commentator-with	+/works-for,who-works-for,employed-by,who-employed-by,commentator-with,who-commentator-at,who-commentator-with
presenter-at	+/works-for,who-works-for,employed-by,who-employed-by,presenter-on, presenter-with,who-presenter-at,who-presenter-on,who-presenter-with
presenter-on	+/works-for,who-works-for,employed-by,who-employed-by,presenter-with,presenter-at,who-presenter-at,who-presenter-on,who-presenter-with
presenter-with	+/works-for,who-works-for,employed-by,who-employed-by,presenter-on,presenter-at,who-presenter-at,who-presenter-on,who-presenter-with
chief-technical	+/works-for,who-works-for,employed-by,who-employed-by,cto,who-chief-technical,who-cto
cto	+/works-for,who-works-for,employed-by,who-employed-by,chief-technical,who-chief-technical,who-cto
director	+/works-for,who-works-for,employed-by,who-employed-by,who-director
correspondent	+/works-for,who-works-for,employed-by,who-employed-by,who-correspondent
who-commentator-at	+/works-for,who-works-for,employed-by,who-employed-by,commentator-at,commentator-with,who-commentator-with
who-commentator-with	+/works-for,who-works-for,employed-by,who-employed-by,commentator-at,who-commentator-at,commentator-with
who-presenter-at	+/works-for,who-works-for,employed-by,who-employed-by,presenter-on,presenter-at,presenter-with,who-presenter-on,who-presenter-with
who-presenter-on	+/works-for,who-works-for,employed-by,who-employed-by,presenter-on,presenter-at,who-presenter-at,presenter-with,who-presenter-with
who-presenter-with	+/works-for,who-works-for,employed-by,who-employed-by,presenter-on,presenter-at,who-presenter-at,who-presenter-on,presenter-with
who-chief-technical	+/works-for,who-works-for,employed-by,who-employed-by,chief-technical,who-chief-technical,chief-technical
who-cto	+/works-for,who-works-for,employed-by,who-employed-by,chief-technical,who-chief-technical,cto
who-director	+/works-for,who-works-for,employed-by,who-employed-by,director
who-correspondent	+/works-for,who-works-for,employed-by,who-employed-by,correspondent
journalist	+/works-for,who-works-for,employed-by,who-employed-by,who-jounralist
who-journalist	+/works-for,who-works-for,employed-by,who-employed-by,journalist
