RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] was written in [Y].	The story was written in English.	write	write-in	past	N-1
[X] is written in [Y].	The story is written in English.	write	write-in	present	N-1
[X] was written in the [Y] language.	The story was written in the English language.	write	write-in-language	past	N-1
[X] is written in the [Y] language.	The story is written in the English language.	write	write-in-language	present	N-1
[X], written in the [Y] language.	The book, written in the English language.	write	write-in-language	?	N-1
The language of [X] is [Y].	The language of Italy is Italian.	language	language-is	present	N-1
The language of [X] was [Y].	The language of Italy was Italian.	language	language-is	past	N-1
[X] is a [Y]-language work.	The story is an English-language work.	language	-language	present	N-1
[X] is an [Y]-language work.	The story is an English-language work.	language	-language	present	N-1
[X], a [Y]-language work.	The story is an English-language work.	language	language	?	N-1
[X], an [Y]-language work.	The story is an English-language work.	language	language	?	N-1
[X] was a [Y]-language work.	The story is an English-language work.	language	-language	past	N-1
[X] was an [Y]-language work.	The story is an English-language work.	language	-language	past	N-1
[X] is a work in the [Y] language.	The story is a work in the English-language.	language	in-language	present	N-1
[X] was a work in the [Y] language.	The story was a work in the English-language.	language	in-language	past	N-1
[X] is a [Y] name.	John is an English name	name	is-name	present	N-M
[X] is an [Y] name.	John is an English name	name	is-name	present	N-M
[X] was a [Y] name.	John was an English name	name	is-name	past	N-M
[X] was an [Y] name.	John was an English name	name	is-name	past	N-M
[X], a [Y]-language name	John, an English-language name	is-name	is-name	?	N-M
[X], an [Y]-language name	John, an English-language name	is-name	is-name	?	N-M
The [Y]-language creation [X]	The English-language creation Hamlet.	-language	-language	?	N-M
[Y] is the language of [X].	Hebrew is the language of the Old Testament	language	is-language-of	present	N-1
[Y] was the language of [X].	Hebrew is the language of the Old Testament	language	is-language-of	past	N-1
