RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] is the capital of [Y].		capital	capital-of	present	1-1
The capital of [Y] is [X].		capital	capital-of	present	1-1
The capital city of [Y] is [X].		capital-city	capital-city-of	present	1-1
[X] is the capital city of [Y].		capital-city	capital-city-of	present	1-1
[Y]'s capital, [X].		capital	capital-of	present	1-1
[Y]'s capital city, [X].		capital-city	capital-city-of	present	1-1
[Y]'s capital is [X].		capital	capital-of	present	1-1
[Y]'s capital city is [X].		capital-city	capital-city-of	present	1-1
[X], the capital of [Y].		capital	capital-of	present	1-1
[X], the capital city of [Y].		capital-city	capital-city-of	present	1-1
[X], that is the capital of [Y].		capital	capital-of	present	1-1
[X], that is the capital city of [Y].		capital-city	capital-city-of	present	1-1
[Y], which has the capital [X].		capital	capital-of	present	1-1
[Y], which has the capital city [X].		capital-city	capital-city-of	present	1-1
