RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] used to work in [Y] .		used-work	used-work	past	N-M
[X] found employment in [Y].		found-employment	found-employment	past	N-M
[X] was employed in [Y].		was-employment	was-employment	past	N-M
[X] worked in [Y].		work-in	work-in	past	N-M
[X] held a position in [Y].		held-position	held-position	past	N-M
[X] took up a post in [Y].		take-post	take-post	past	N-M
[X] took up a position in [Y].		take-position	take-position	past	N-M
[X] took up work in [Y].		take-work	take-work	past	N-M
[X] moved to [Y] to work.		moved-work	moved-work	past	N-M
[X] moved for a new position to [Y] to work.		moved-for-position	moved-for-position	past	N-M
[X] moved for a new post to [Y] to work.		moved-for-post	moved-for-post	past	N-M
[X] moved for work to [Y].		moved-for-work	moved-for-work	past	N-M
[X] moved to [Y] to establish a foundation.		establish-foundation	establish-foundation	past	N-M
[X] moved to [Y] to run a company.		run-company	run-company	past	N-M
[X] moved to [Y] to found a company.		found-company	found-company	past	N-M
[X] works in [Y].		works-in	work-in	present	N-M
[X] lives and works in [Y].		live-work-in	live-work-in	present	N-1
[X] taught in the University of [Y].		taught-in-uni	taught-in-uni	past	N-M
[X] taught in [Y] University.		taught-in	taught-in	past	N-M
[X] was rector of the University of [Y].		rector-in	rector-in	past	N-M
[Y] artist [X].		artist	artist	present	N-M
[Y] writer [X].		writer	writer	present	N-M
[Y] filmmaker [X].		filmmaker	filmmaker	present	N-M
[Y] director [X].		director	director	present	N-M
