play	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
play-the	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
player	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
sonata	*/pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
pieces	*/sonata,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
solo	*/sonata,pieces,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
maestro	*/sonata,pieces,solo,vocals,features,variety-instruments,study,perform,began-play,performer
to-play	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
vocals	*/sonata,pieces,solo,maestro,features,variety-instruments,study,perform,began-play,performer
play-by	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
features	*/sonata,pieces,maestro,vocals,variety-instruments,study,perform,began-play,performer
is-a-player	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
was-a-player	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
variety-instruments	*/sonata,pieces,solo,maestro,vocals,features,study,perform,began-play,performer
study	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,perform,began-play,performer
perform	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,began-play
began-play	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,perform,began-play,performer
performer	*/sonata,pieces,solo,maestro,vocals,features,variety-instruments,study,began-play
