RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] is represented by music label [Y] .		represented-by-music-label	represented-by-music-label	present	N-1
[X], that is represented by music label [Y].		represented-by-music-label	that-represented-by-music-label	present	N-1
[X], which is represented by music label [Y].		represented-by-music-label	which-represented-by-music-label	present	N-1
[X] is represented by record label [Y] .		represented-by-record-label	represented-by-record-label	present	N-1
[X], that is represented by record label [Y].		represented-by-record-label	that-represented-by-record-label	present	N-1
[X], which is represented by record label [Y].		represented-by-record-label	which-represented-by-record-label	present	N-1
[X] is represented by [Y] .		represented-by	represented-by	present	N-1
[X], that is represented by [Y].		represented-by	that-represented-by	present	N-1
[X], which is represented by [Y].		represented-by	which-represented-by	present	N-1
The music label representing [X] is [Y].		representing	representing	present	N-1
The music label that is representing [X] is [Y].		representing	that-representing	present	N-1
[X] signed a record deal with [Y].		signed	signed	past	N-M
[X], that signed a record deal with [Y].		signed-up	that-signed-a	past	N-M
[X] signed up with music label [Y].		signed-up-music-label	signed-up-music-label	past	N-M
[X] signed up with [Y].		signed-up	signed-up	past	N-M
[X]'s label is [Y].		s-label	s-label	present	N-1
[X]'s label was [Y].		s-label	s-label-was	past	N-M
[X]'s record label is [Y].		s-record-label	s-record-label	present	N-1
[X]'s record label was [Y].		s-record-label	s-record-label-was	past	N-M
[X]'s music label is [Y].		s-music-label	s-music-label	present	N-1
[X]'s music label was [Y].		s-music-label	s-music-label-was	past	N-M
[X] signed to [Y].		signed-to	signed-to	past	N-1
[X] signed with [Y].		signed-with	signed-with	past	N-1
[X], that signed to [Y].		signed-to	that-signed-to	past	N-1
[X], that signed with [Y].		signed-with	that-signed-with	past	N-1
[X] was signed to [Y].		signed-to	was-signed-to	past	N-M
[X] is released by [Y].		released-by	is-released-by	present	N-1
[X] was released by [Y].		released-by	was-released-by	past	N-M
[X] recorded for [Y].		recorded-for	recorded-for	present	N-M
[X] was recorded for [Y].		recorded-for	was-recorded-for	past	N-M
[X] label : [Y].		label-colon	label-colon	-	N-1
[X], released by [Y].		released-by	released-by	present	N-1
[Y] recording artist [X].		recording-artist	recording-artist	-	N-1
[Y] artists such as [X].		artist-such	artist-such	-	N-1
[Y] artists including [X].		artist-including	artist-including	-	N-1
[X] recorded the song for [Y].		recorded-song	recorded-song	past	N-1
[X] recorded the album for [Y].		recorded-album	recorded-album	past	N-1
