RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] was founded in [Y].		found	found-in	past	N-1
[X], founded in [Y].		found	found-in	past	N-1
[X] that was founded in [Y].		found	found-in	past	N-1
[X], that was started in [Y].		start	start-in	past	N-1
[X] started in [Y].		start	start-in	past	N-1
[X] was started in [Y]		start	start-in	past	N-1
[X], that was created in [Y].		create	create-in	past	N-1
[X], created in [Y].		create	create-in	past	N-1
[X] was created in [Y].		create	create-in	past	N-1
[X], that originated in [Y].		originate	originate-in	past	N-1
[X] originated in [Y].		originate	originate-in	past	N-1
[X] formed in [Y].		form	form-in	past	N-1
[X] was formed in [Y].		form	form-in	past	N-1
[X], that was formed in [Y].		form	form-in	past	N-1
