plays-music	+/plays,who-plays,musicians-such,musicians
who-plays	+/plays,musicians,musicians-such,plays-music
is-a-musician	+/plays,who-plays,who-is-a-musician,,musician,musicians,musicians-such,plays-music
who-is-a-musician	+/plays,who-plays,is-a-musician,musician,musicians,musicians-such,plays-music
plays	+/plays-music,who-plays,musicians-such,musicians
perform-concert	+/plays,who-plays,musicians-such,musicians,plays-music
who-perform-concert	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,musicians-such,plays-music,artist,artist-such
artist	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,musicians-such,plays-music,artist-such
singer	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,musicians-such,plays-music,singers-such
musician	+/plays,who-plays,is-a-musician,who-is-a-musician,musicians,musicians-such,plays-music,
star	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,musicians-such,plays-music,stars-such,artist,artist-such
artist-such	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,musicians-such,plays-music,artist
band	+/plays,plays-music,bands-such,musicians,musicians-such
musicians	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians-such,plays-music
musicians-such	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,plays-music
bands-such	+/plays,plays-music,band,who-plays,musicians,musicians-such
singers-such	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,musicians-such,plays-music,singer
stars-such	+/plays,who-plays,is-a-musician,who-is-a-musician,musician,musicians,musicians-such,plays-music,stars-such,artist,artist-such
