RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] has the position of [Y] .		position	position	present	N-M
[X], who has the position of [Y].		who-position	who-position	present	N-M
[X], whose position is that of [Y].		whose-position	whose-position	present	N-M
[X]'s position is [Y].		s-position	s-position	present	N-M
[X], who holds the position of [Y].		who-holds	who-holds	present	N-M
[X] holds the position of [Y].		holds	holds	present	N-M
[X], who was elected [Y].		who-elected	who-elected	past	N-M
[X] was elected [Y].		elected	elected	past	N-M
[X], who was appointed [Y].		who-appointed	who-appointed	past	N-M
[X] was appointed [Y].		appointed	appointed	past	N-M
[X], who served as [Y].		who-served	who-served	past	N-M
[X] served as [Y].		served	served	past	N-M
[X], who serves as [Y].		who-served	who-served	present	N-M
[X] serves as [Y].		served	served	present	N-M
[X] was elected as [Y].		was-elected	was-elected	past	N-M
[X], who was named [Y].		who-named	who-named	past	N-M
[X] was named [Y].		was-named	was-named	past	N-M
[X], who was sworn in as [Y].		who-sworn	who-sworn	past	N-M
[X] was sworn in as [Y].		was-sworn	was-sworn	past	N-M
[X], who was crowned [Y].		who-crowned	who-crowned	past	N-M
[X] was crowned [Y].		was-crowned	was-crowned	past	N-M
[X], who has been crowned [Y].		who-has-crowned	who-has-crowned	past	N-M
[X] has been crowned [Y].		has-crowned	has-crowned	past	N-M
[X] is crowned [Y].		is-crowned	is-crowned	present	N-M
[X], who was given the position of [Y].		who-given	who-given	past	N-M
[X] was given the position of [Y].		was-given	was-given	past	N-M
[X], who ascended to the [Y] position.		who-ascended	who-ascended	past	N-M
[X] ascended to the [Y] position.		ascended	ascended	past	N-M
