RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] plays [Y] music .		plays	plays	present N-1
[X], who plays [Y] music		who-plays	who-plays	present	N-1
[X] is a [Y] musician.		is-a-musician	is-a-musician	present	N-1
[X] is an [Y] musician.		is-an-musician	is-an-musician	present	N-1
[X], who is a [Y] musician.		who-is-a-musician	who-is-a-musician	present	N-1
[X], who is an [Y] musician		who-is-an-musician	who-is-an-musician	present	N-1
[X] plays [Y].		plays	plays	present	N-M
[X], who plays [Y].		who-plays	who-plays	present	N-M
[X] performs in [Y] concerts.		perform-concert	perform-concert	present	N-M
[X], who performs in [Y] concerts.		who-perform-concert	who-perform-concert	present	N-M
[Y] artist [X].		artist	artist	present	N-1
[Y] singer [X].		singer	singer	present	N-1
[Y] musician [X].		musician	musician	present	N-1
[Y] star [X].		star	star	present	N-1
[Y] artists such as [X].		artist-such	artist-such	present	N-1
[Y] bands [X].		band	band	present	N-1
[Y] musicians [X].		musicians	musicians	present	N-1
[Y] musicians such as [X].		musicians-such	musicians-such	present	N-1
[Y] bands such as [X].		bands-such	bands-such	present	N-1
[Y] singers such as [X].		singers-such	singers-such	present	N-1
[Y] stars such as [X].		stars-such	stars-such	present	N-1
