RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
The headquarter of [X] is in [Y] .		headquarter	headquarter	present	N-1
The headquarters of [X] is in [Y] .		headquarters	headquarters-in	present	N-1
The headquarter of [X] is located in [Y] .		located-in	located-in	present	N-1
[Y] contains the headquarters of [X].		contains-headquarters	contains-headquarters	present	N-1
[X] is headquartered in [Y].		is-headquarter	is-headquarter	present	N-1
[Y] has the headquarters of [X].		has-headquarter	has-headquarter	present	N-1
[X]'s headquarters are in [Y].		headquarters	headquarters-in	present	N-1
[X], whose headquarters are in [Y].		headquarters	headquarters-in	present	N-1
[Y] is home to [X].		home	home-to	present	N-M
[X] is based in [Y].		based	based-in	present	N-M
