used-work	+/found-employment,was-employment,work-in,held-position,take-post,take-work,take-position
found-employment	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-position,take-work
was-employment	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work,take-position
work-in	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work,take-position
held-position	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work,take-position
take-post	+/used-work,found-employment,was-employment,work-in,held-position,take-position,take-work
take-position	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work
take-work	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-position
moved-work	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work,moved-for-work,moved-for-position,moved-for-post,take-position,take-work
moved-for-position	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work,moved-for-work,moved-for-post,moved-work,take-position,take-work
moved-for-post	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work,moved-for-work,moved-for-position,moved-work,take-position,take-work
moved-for-work	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-work,moved-for-post,moved-for-position,moved-work,take-position,take-work
establish-foundation	+/used-work,found-employment,was-employment,work-in,take-work,held-position,take-post,take-position
run-company	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-position,take-work
found-company	+/used-work,found-employment,was-employment,work-in,held-position,take-post,take-position,take-work
live-work-in	*/writer, filmmaker,director,artist,establish-foundation,run-company,found-company,taught-in,taught-in-uni,moved-work,rector-in,moved-for-work,moved-for-position
taught-in-uni	*/writer, filmmaker,director,artist,establish-foundation,run-company,found-company,live-work-in,taught-in,moved-work,rector-in,moved-for-work,moved-for-position
taught-in	*/writer, filmmaker,director,artist,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,moved-work,rector-in,moved-for-work,moved-for-position
rector-in	*/writer, filmmaker,director,artist,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,moved-work,moved-for-work,moved-for-position
artist	*/writer, filmmaker,director,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position
writer	*/artist, filmmaker,director,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position
filmmaker	*/writer,artist,director,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position
director	*/writer, filmmaker,artist,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position
