RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] works in the field of [Y].	Tommy Dreyfus works in the field of mathematics.	work	work-in-field	present	N-M
[X] worked in the field of [Y].	Tommy Dreyfus worked in the field of mathematics.	work	work-in-field	past	N-M
[X] specializes in [Y].	Tommy Dreyfus specializes in mathematics.	specialize	specialize-in	present	N-M
[X] specialized in [Y].	Tommy Dreyfus specialized in mathematics.	specialize	specialize-in	past	N-M
[Y] is the specialization of [X].	mathematics is the specialization of Tommy Dreyfus	specialization	is-specialization-of	present	N-M
[Y] was the specialization of [X].	mathematics was the specialization of Tommy Dreyfus	specialization	is-specialization-of	past	N-M
The expertise of [X] is [Y].	The speciality of Tommy Dreyfus is mathematics.	expertise	expertise	present	N-M
The expertise of [X] was [Y].	The speciality of Tommy Dreyfus is mathematics.	expertise	expertise	past	N-M
[Y] is the expertise of [X].	mathematics is the speciality of Tommy Dreyfus.	expertise	expertise	present	N-M
[Y] was the expertise of [X].	mathematics was the speciality of Tommy Dreyfus.	expertise	expertise	past	N-M
The domain of activity of [X] is [Y].	The domain of activity of Tommy Dreyfus is mathematics.	domain-of-activity	domain-of-activity	present	N-M
The domain of activity of [X] was [Y].	The domain of activity of Tommy Dreyfus was mathematics.	domain-of-activity	domain-of-activity	past	N-M
The domain of work of [X] is [Y].	The domain of work of Tommy Dreyfus is mathematics.	domain-of-work	domain-of-work	present	N-M
The domain of work of [X] was [Y].	The domain of actiworkvity of Tommy Dreyfus was mathematics.	domain-of-work	domain-of-work	past	N-M
[Y] is the domain of activity of [X].	mathematics is the domain of activity of Tommy Dreyfus.	domain-of-activity	domain-of-activity	present	N-M
[Y] was the domain of activity of [X].	mathematics was the domain of activity of Tommy Dreyfus.	domain-of-activity	domain-of-activity	past	N-M
[X]'s area of work is [Y].	Tommy Dreyfus's area of work is mathematics.	area-of-work	's-area-of-work	present	N-M
[X]'s area of work was [Y].	Tommy Dreyfus's area of work was mathematics.	area-of-work	's-area-of-work	past	N-M
[X]'s domain of work was [Y].	Tommy Dreyfus's domain of work was mathematics.	domain-of-work	's-domain-of-work	past	N-M
[X]'s domain of work is [Y].	Tommy Dreyfus's domain of work was mathematics.	domain-of-work	's-domain-of-work	present	N-M
[X]'s domain of activity was [Y].	Tommy Dreyfus's domain of activity was mathematics.	domain-of-activity	's-domain-of-activity	past	N-M
[X]'s domain of activity is [Y].	Tommy Dreyfus's domain of activity was mathematics.	domain-of-activity	's-domain-of-activity	present	N-M
[X]'s expertise was [Y].	Tommy Dreyfus's speciality was mathematics.	speciality	's-expertise	past	N-M
[X]'s expertise is [Y].	Tommy Dreyfus's speciality was mathematics.	speciality	's-expertise	present	N-M
[X] works in the area of [Y].	Tommy Dreyfus works in the field of mathematics.	work	work-in-area	present	N-M
[X] worked in the area of [Y].	Tommy Dreyfus worked in the field of mathematics.	work	work-in-area	past	N-M
