RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] is located in [Y] .		locate	locate	present	N-1
[X] happens in [Y].		happen	happen	present	N-1
[X] takes place in [Y].		take-place	take-place	present	N-1
[X] held in [Y].		held	held	past	N-1
[X] was held in [Y].		was-held-in	was-held-in	past	N-M
[X] was held at the [Y].		was-held-at	was-held-at	past	N-M
[X] took place in [Y].		take-place	take-place	past	N-M
[Y] hosts [X].		host	host	present	N-1
[Y] hosted the [X].		host-the	host-the	present	N-1
[X], which is located in [Y] .		locate	which-locate	present	N-1
[X], which happens in [Y].		happen	which-happen	present	N-1
[X], which takes place in [Y].		take-place	which-take-place	present	N-1
[X], which is held in [Y].		held	which-held	present	N-1
[X], which was held in [Y].		was-held-in	which-was-held-in	past	N-M
[X], which was held at the [Y].		was-held-at	which-was-held-at	past	N-M
[X], which took place in [Y].		take-place	which-take-place	past	N-M
[Y], which hosts [X].		host	which-host	present	N-1
[Y], which hosted the [X].		host-the	which-host-the	past	N-M
[X], that is located in [Y] .		locate	that-locate	present	N-1
[X], that happens in [Y].		happen	that-happen	present	N-1
[X], that takes place in [Y].		take-place	that-take-place	present	N-1
[X], that is held in [Y].		held	that-held	past	N-1
[X], that was held in [Y].		was-held-in	that-was-held-in	past	N-M
[X], that was held at the [Y].		was-held-at	that-was-held-at	past	N-M
[X], that took place in [Y].		take-place	that-take-place	past	N-M
[Y], that hosts [X].		host	that-host	present	N-1
[Y], that hosted the [X].		host-the	that-host-the	present	N-M
[X] festival in [Y].		festival	festival	present	N-1
[X], which is a festival in [Y].		festival	which-festival	present	N-1
[X], a festival in [Y].		festival	a-festival	present	N-1
