RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] is a [Y] .		is-a	is-a	present	N-M
[X] is an [Y] .		is-a	is-a	present	N-M
[Y] including [X] .		include	include	present-continuous	N-M
[Y] like [X] .		like	like	-	N-M
[Y] includes [X] .		include	include	present	N-M
[Y] including the [X] .		including-the	including-the	present	N-M
[X] is the largest [Y] .		is-largest	is-largest	present	N-M
[X] is a small [Y] .		is-small	is-small	present	N-M
[X] is an example of [Y].		is-example	is-example	present	N-M
[X] is a class of [Y].		is-class	is-class	present	N-M
[X] is a type of [Y].		is-type	is-type	present	N-M
[X] is a kind of [Y].		is-kind	is-kind	present	N-M
[X] a special case of [Y].		special-case	special-case	-	N-M
[Y] such as [X].		such-as	such-as	-	N-M
