RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE	FUNCTION
[X] is a part of [Y].	[X]:Central Europe :is :a :part :of [Y]:Europe	part-of	is-part-of	present	N-M
[Y] comprises [X].	[Y]:This book :comprises [X]:250 pages.	comprise	comprise	present	N-M
[Y] comprised [X].	[Y]:This book :comprised [X]:250 pages.	comprise	comprise	past	N-M
[Y] is comprised of [X].	[Y]:This book :is :comprised :of [X]:250 pages.	comprise	comprise-of	present	N-M
[Y] was comprised of [X].	[Y]:This book :was :comprised :of [X]:250 pages.	comprise	comprise-of	past	N-M
[X] was a part of [Y].	[X]:Central Europe :is :a :part :of [Y]:Europe	part-of	is-part-of	past	N-M
[X] is a building block of [Y].	[X]:Beta carotene :is :a :building :block :of [Y]:vitamin A	building-block	is-building-block	present	N-M
[X] is a component of [Y].	[X]:Tpx-1 :is :a :component :of [Y]:the outer dense fibers	component-of	is-component-of	present	N-M
[Y] consists of [X].	[Y]:The curriculum :consists :of [X]:13 student-run funds	consist	consist-of	present	N-M
[Y] consisted of [X].	[Y]:The curriculum :consisted :of [X]:13 student-run funds	consist	consist-of	past	N-M
[Y] is made of [X].	[Y]:Chairs :are :made :of [X]:wood.	make	make-of	present	N-M
[Y] was made of [X].	[Y]:Chairs :were :made :of [X]:wood.	make	make-of	past	N-M
[X] is an ingredient in [Y].	[Y]:Taurine :is :an :ingredient :in [X]:many energy drinks.	ingredient	is-ingredient-in	present	N-M
[Y] is created out of [X].	"[Y]:Capital reserve :is :created :out :of [X]:capital profits like upward revaluation of assets, profits on sale of assets etc."	create-out	is-create-out	present	N-M
[Y] was created out of [X].	"[Y]:Capital reserve :was :created :out :of [X]:capital profits like upward revaluation of assets, profits on sale of assets etc."	create-out	is-create-out	past	N-M
[X] is a subfield of [Y].		subfield	subfield	present	N-M
[X] is a discipline in [Y].		discipline	discipline	present	N-M
[X] is a branch of [Y].		branch 	branch	present	N-M
