position	+/who-position,whose-position,s-position,who-holds,holds
who-position	+/position, whose-position,s-position, who-holds, holds
whose-position	+/position, who-position,s-position, who-holds, holds
s-position	+/position, whose-position,who-position, who-holds, holds
who-holds	+/position, whose-position,who-position, s-position, holds
holds	+/position, whose-position,who-position, s-position, who-holds
who-elected	+/position, whose-position,who-position, s-position, holds, who-holds, elected, was-elected
elected	+/position, whose-position,who-position, s-position, holds, who-holds, who-elected, was-elected
who-appointed	+/position, whose-position,who-position, s-position, holds, who-holds, appointed
appointed	+/position, whose-position,who-position, s-position, holds, who-holds, who-appointed
who-served	+/position, whose-position,who-position, s-position, holds, who-holds, served
served	+/position, whose-position,who-position, s-position, holds, who-holds, who-served
was-elected	+/position, whose-position,who-position, s-position, holds, who-holds, elected, who-elected
who-named	+/position, whose-position,who-position, s-position, holds, who-holds, was-named
was-named	+/position, whose-position,who-position, s-position, holds, who-holds, who-named
who-sworn	+/position, whose-position,who-position, s-position, holds, who-holds, was-sworn
was-sworn	+/position, whose-position,who-position, s-position, holds, who-holds, who-sworn
who-crowned	+/position, whose-position,who-position, s-position, holds, who-holds, was-crowned, who-has-crowned, has-crowned, is-crowned
was-crowned	+/position, whose-position,who-position, s-position, holds, who-holds, who-has-crowned, has-crowned, is-crowned, who-crowned
who-has-crowned	+/position, whose-position,who-position, s-position, holds, who-holds, was-crowned, has-crowned, is-crowned, who-crowned
has-crowned	+/position, whose-position,who-position, s-position, holds, who-holds, was-crowned, who-has-crowned, is-crowned, who-crowned
is-crowned	+/position, whose-position,who-position, s-position, holds, who-holds, was-crowned, who-has-crowned, has-crowned, who-crowned
who-given	+/position, whose-position,who-position, s-position, holds, who-holds, was-given
was-given	+/position, whose-position,who-position, s-position, holds, who-holds, who-given
who-ascended	+/position, whose-position,who-position, s-position, holds, who-holds, ascended
ascended	+/position, whose-position,who-position, s-position, holds, who-holds, who-ascended
