LEMMA	NOT-ENTAILED
features	vocals,pieces,variety-instruments,began-play,perform,sonata,maestro,study,performer
vocals	pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
pieces	vocals,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
player	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
variety-instruments	vocals,pieces,began-play,perform,solo,sonata,maestro,study,features,performer
began-play	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
perform	vocals,pieces,variety-instruments,began-play,solo,sonata,maestro,study,features
solo	vocals,pieces,variety-instruments,began-play,perform,sonata,maestro,study,features,performer
study	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,features,performer
sonata	vocals,pieces,variety-instruments,began-play,perform,solo,maestro,study,features,performer
play	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
maestro	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,study,features,performer
to-play	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
was-a-player	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
play-by	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
play-the	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
is-a-player	vocals,pieces,variety-instruments,began-play,perform,solo,sonata,maestro,study,features,performer
performer	vocals,pieces,variety-instruments,began-play,solo,sonata,maestro,study,features
