LEMMA	NOT-ENTAILED
was-purchased	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
owned	was-purchased,acquire,was-founded,launched,bought,group,formerly,acquisitions-such,was-acquire,was-bought,subsidiary,is-subsidiary,bought-out,purchased,local-media-subsidiary,motorway,division,headquarter-complex,corporate-hq
acquire	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
owner	was-purchased,acquire,was-founded,launched,bought,group,formerly,acquisitions-such,was-acquire,was-bought,subsidiary,is-subsidiary,bought-out,purchased,local-media-subsidiary,motorway,division,headquarter-complex,corporate-hq
was-founded	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,launched,was-bought,headquarter-complex,corporate-hq
launched	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,was-bought,headquarter-complex,corporate-hq
bought	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
group	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought,headquarter-complex,corporate-hq
own	was-purchased,acquire,was-founded,launched,bought,group,formerly,acquisitions-such,was-acquire,was-bought,subsidiary,is-subsidiary,bought-out,purchased,local-media-subsidiary,motorway,division,headquarter-complex,corporate-hq
formerly	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,group,motorway,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought,headquarter-complex,corporate-hq
acquisitions-such	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
was-acquire	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
was-bought	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
subsidiary	was-purchased,bought,purchased,local-media-subsidiary,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought,headquarter-complex,corporate-hq
is-subsidiary	was-purchased,bought,purchased,local-media-subsidiary,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought,headquarter-complex,corporate-hq
bought-out	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
owned-by	was-purchased,acquire,was-founded,launched,bought,group,formerly,acquisitions-such,was-acquire,was-bought,subsidiary,is-subsidiary,bought-out,purchased,local-media-subsidiary,motorway,division,headquarter-complex,corporate-hq
purchased	subsidiary,is-subsidiary,local-media-subsidiary,group,motorway,formerly,division,was-founded,launched,headquarter-complex,corporate-hq
local-media-subsidiary	was-purchased,bought,purchased,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought,headquarter-complex,corporate-hq
motorway	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,group,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought,headquarter-complex,corporate-hq
division	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,was-founded,launched,was-bought,headquarter-complex,corporate-hq
headquarter-complex	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought
corporate-hq	was-purchased,subsidiary,bought,purchased,is-subsidiary,local-media-subsidiary,group,motorway,formerly,acquire,bought-out,acquisitions-such,was-acquire,division,was-founded,launched,was-bought
