LEMMA	NOT-ENTAILED
locate	festival,which-festival,a-festival,is-in
is-in	-
construct	building,region,happen,take-place,held,was-held-in,was-held-at,host,host-the,which-locate,which-happen,which-take-place,which-held,which-was-held-in,which-was-held-at,which-host,which-host-the,that-locate,that-happen,that-take-place,that-held,that-was-held-in,that-was-held-at,that-host,that-host-the,festival,which-festival,a-festival
building	region,happen,take-place,held,was-held-in,was-held-at,host,host-the,which-locate,which-happen,which-take-place,which-held,which-was-held-in,which-was-held-at,which-host,which-host-the,that-locate,that-happen,that-take-place,that-held,that-was-held-in,that-was-held-at,that-host,that-host-the,festival,which-festival,a-festival
structure	construct,building,region,happen,take-place,held,was-held-in,was-held-at,host,host-the,which-locate,which-happen,which-take-place,which-held,which-was-held-in,which-was-held-at,which-host,which-host-the,that-locate,that-happen,that-take-place,that-held,that-was-held-in,that-was-held-at,that-host,that-host-the,festival,which-festival,a-festival
region	construct,building,structure,happen,take-place,held,was-held-in,was-held-at,host,host-the,which-locate,which-happen,which-take-place,which-held,which-was-held-in,which-was-held-at,which-host,which-host-the,that-locate,that-happen,that-take-place,that-held,that-was-held-in,that-was-held-at,that-host,that-host-the,festival,which-festival,a-festival
happen	festival,which-festival,a-festival,construct,building,structure,region
take-place	festival,which-festival,a-festival,construct,building,structure,region
held	festival,which-festival,a-festival,construct,building,structure,region
was-held-in	festival,which-festival,a-festival,construct,building,structure,region
was-held-at	festival,which-festival,a-festival,construct,building,structure,region
host	festival,which-festival,a-festival,construct,building,structure,region
host-the	festival,which-festival,a-festival,construct,building,structure,region
which-locate	festival,which-festival,a-festival,construct,building,structure,region
which-happen	festival,which-festival,a-festival,construct,building,structure,region
which-take-place	festival,which-festival,a-festival,construct,building,structure,region
which-held	festival,which-festival,a-festival,construct,building,structure,region
which-was-held-in	festival,which-festival,a-festival,construct,building,structure,region
which-was-held-at	festival,which-festival,a-festival,construct,building,structure,region
which-host	festival,which-festival,a-festival,construct,building,structure,region
which-host-the	festival,which-festival,a-festival,construct,building,structure,region
that-locate	festival,which-festival,a-festival,construct,building,structure,region
that-happen	festival,which-festival,a-festival,construct,building,structure,region
that-take-place	festival,which-festival,a-festival,construct,building,structure,region
that-held	festival,which-festival,a-festival,construct,building,structure,region
that-was-held-in	festival,which-festival,a-festival,construct,building,structure,region
that-was-held-at	festival,which-festival,a-festival,construct,building,structure,region
that-host	festival,which-festival,a-festival,construct,building,structure,region
that-host-the	festival,which-festival,a-festival,construct,building,structure,region
festival	construct,building,structure,region
which-festival	construct,building,structure,region
a-festival	construct,building,structure,region
