LEMMA	NOT-ENTAILED
is-member-of	president-of
belong-to-organization	president-of
become-member-of	president-of
is-part-of-organization	president-of
become-part-of-organization	president-of
affiliate-with	president-of
affiliate-with-organization	president-of
join-as-member	president-of
join	belong-to-organization,is-member-of,become-member-of,become-part-of-organization,is-part-of-organization,affiliate-with,join-as-member,affiliate-with-organization,become-affiliate-with,president-of
become-affiliate-with	president-of
president-of	-
