LEMMA	NOT-ENTAILED
is-a	is-largest,is-small,is-special-case
include	is-largest,is-small,is-special-case
like	is-largest,is-small,is-special-case
including-the	is-largest,is-small,is-special-case
is-largest	is-small,is-special-case
is-small	is-largest,is-special-case
is-example	is-largest,is-small,is-special-case
is-class	is-largest,is-small,is-special-case
is-type	is-largest,is-small,is-special-case
is-kind	is-largest,is-small,is-special-case
is-special-case	is-largest,is-small
such-as	is-largest,is-small,is-special-case
