LEMMA	NOT-ENTAILED
air-on-originally	is-stream-on,stream-on
to-debut-on	is-stream-on,stream-on
to-debut	is-stream-on,stream-on
debut	is-stream-on,stream-on
debut-on	is-stream-on,stream-on
debut-of	is-stream-on,stream-on
release-of	is-stream-on,stream-on
is-to-air	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
is-to-air-on	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
is-to-broadcast	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
is-to-broadcast-on	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
's	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
's-series	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
series	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
is-release-on	is-stream-on,stream-on
release	is-stream-on,stream-on
air-on	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
is-broadcast	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
is-stream-on	is-stream-on,stream-on
stream-on	is-stream-on,stream-on
broadcast-on	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
is-air-on	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
on	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
return-on	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
original	premiere-on,to-debut-on,release-of,is-release-on,release,air-on-originally,debut-on,debut,debut-of,to-debut,is-stream-on,stream-on
premiere-on	is-stream-on,stream-on
