LEMMA	NOT-ENTAILED
position	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-position	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
whose-position	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
s-position	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-holds	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
holds	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-elected	who-appointed,appointed,who-served,served,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
elected	who-appointed,appointed,who-served,served,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-appointed	who-elected,elected,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
appointed	who-elected,elected,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-served	who-elected,elected,who-appointed,appointed,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
served	who-elected,elected,who-appointed,appointed,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
was-elected	who-appointed,appointed,who-served,served,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-named	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
was-named	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-sworn	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
was-sworn	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given,who-ascended,ascended
who-crowned	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-given,was-given,who-ascended,ascended
was-crowned	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-given,was-given,who-ascended,ascended
who-has-crowned	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-given,was-given,who-ascended,ascended
has-crowned	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-given,was-given,who-ascended,ascended
is-crowned	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-given,was-given,who-ascended,ascended
who-given	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-ascended,ascended
was-given	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-ascended,ascended
who-ascended	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given
ascended	who-elected,elected,who-appointed,appointed,who-served,served,was-elected,who-named,was-named,who-sworn,was-sworn,who-crowned,was-crowned,who-has-crowned,has-crowned,is-crowned,who-given,was-given
