LEMMA	NOT-ENTAILED
is-located	is-town,which-is-town,town,a-city,city-of,is-city,which-is-city,city,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
which-is-located	is-town,which-is-town,town,a-city,city-of,is-city,which-is-city,city,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
located	is-town,which-is-town,town,a-city,city-of,is-city,which-is-city,city,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
is-town	a-city,city-of,is-city,which-is-city,city,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
which-is-town	a-city,city-of,is-city,which-is-city,city,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
town	a-city,city-of,is-city,which-is-city,city,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
is-city	is-town,which-is-town,town,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
which-is-city	is-town,which-is-town,town,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
a-city	is-town,which-is-town,town,is-state,which-is-state,state,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
is-state	is-town,which-is-town,town,a-city,city-of,is-city,which-is-city,city,is-county,which-is-county,a-county,county,is-municipality,which-is-municipality,municipality,which-is-district,district,is-district,which-commune,commune,is-commune,which-valley,a-valley,valley,a-region,which-region,area-of,region,region-of,island-of,is-island-of,which-is-island-of,capital,capital-of,is-capital-of,the-capital-of,is-capital-city,which-is-capital-city
