LEMMA	NOT-ENTAILED
is-subclass	is-a,include,like,including-the,is-largest,may-include,is-called,is-example,is-class,is-type,is-kind,and-some,and-any,or-some,special-case,is-an,such-as,is-the,is-form
is-type	special-case
is-a	special-case
include	special-case
like	special-case
including-the	special-case
is-largest	special-case
may-include	special-case
is-called	special-case
is-example	special-case
is-class	special-case
is-kind	special-case
and-some	special-case
and-any	special-case
or-some	special-case
special-case	special-case
is-an	special-case
such-as	special-case
is-the	special-case
is-form	special-case
