LEMMA	NOT-ENTAILED
works-for	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-works-for	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
employed-by	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-employed-by	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
CEO	professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
is-CEO	professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-is-CEO	professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
professor	CEO,is-CEO,who-is-CEO,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-professor	CEO,is-CEO,who-is-CEO,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
commentator-at	CEO,is-CEO,who-is-CEO,professor,who-professor,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
commentator-with	CEO,is-CEO,who-is-CEO,professor,who-professor,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
presenter-at	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
presenter-on	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
presenter-with	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
chief-technical	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-director,who-correspondent,journalist,who-journalist
cto	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-director,who-correspondent,journalist,who-journalist
director	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-correspondent,journalist,who-journalist
correspondent	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,journalist,who-journalist
who-commentator-at	CEO,is-CEO,who-is-CEO,professor,who-professor,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-commentator-with	CEO,is-CEO,who-is-CEO,professor,who-professor,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-presenter-at	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-presenter-on	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-presenter-with	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-chief-technical,who-cto,who-director,who-correspondent,journalist,who-journalist
who-chief-technical	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-director,who-correspondent,journalist,who-journalist
who-cto	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-director,who-correspondent,journalist,who-journalist
who-director	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-correspondent,journalist,who-journalist
who-correspondent	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,journalist,who-journalist
journalist	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent
who-journalist	CEO,is-CEO,who-is-CEO,professor,who-professor,commentator-at,commentator-with,presenter-at,presenter-on,presenter-with,chief-technical,cto,director,correspondent,who-commentator-at,who-commentator-with,who-presenter-at,who-presenter-on,who-presenter-with,who-chief-technical,who-cto,who-director,who-correspondent
