LEMMA	NOT-ENTAILED
native	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
mother-tongue	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
is-native	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
is-mother-tongue	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
childhood	actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
actress	childhood,was-film-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
author	childhood,actress,was-film-actress,was-actress,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
actor	childhood,actress,was-film-actress,was-actress,author,writer,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
poet	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,was-composer,was-painter,was-naturalist,was-botanist,was-minister,politician,composer,painter,naturalist,botanist,minister
composer	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,painter,naturalist,botanist,minister
painter	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,naturalist,botanist,minister
politician	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,composer,painter,naturalist,botanist,minister
writer	childhood,actress,was-film-actress,was-actress,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
was-composer	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,painter,naturalist,botanist,minister
was-actor	childhood,actress,was-film-actress,was-actress,author,writer,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
was-film-actress	childhood,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
was-actress	childhood,was-film-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,painter,naturalist,botanist,minister
was-painter	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-naturalist,was-botanist,was-minister,was-poet,politician,composer,naturalist,botanist,minister
was-naturalist	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-botanist,was-minister,was-poet,politician,composer,painter,botanist,minister
was-botanist	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-minister,was-poet,politician,composer,painter,naturalist,minister
was-minister	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-poet,politician,composer,painter,naturalist,botanist
was-poet	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,was-composer,was-painter,was-naturalist,was-botanist,was-minister,politician,composer,painter,naturalist,botanist,minister
naturalist	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-botanist,was-minister,was-poet,politician,composer,painter,botanist,minister
botanist	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-minister,was-poet,politician,composer,painter,naturalist,minister
minister	childhood,actress,was-film-actress,was-actress,author,writer,actor,was-actor,poet,was-composer,was-painter,was-naturalist,was-botanist,was-poet,politician,composer,painter,naturalist,botanist
