LEMMA	NOT-ENTAILED
is-component-of	make-of,subfield,discipline,comprise-of,comprise,consist-of,is-create-out,is-ingredient-in,branch
make-of	branch,is-ingredient-in,subfield,discipline
comprise-of	branch,is-ingredient-in,subfield,discipline
comprise	branch,is-ingredient-in,subfield,discipline
subfield	is-component-of,make-of,comprise-of,comprise,is-building-block,consist-of,is-create-out,is-ingredient-in
discipline	is-component-of,make-of,comprise-of,comprise,is-building-block,consist-of,is-create-out,is-ingredient-in
is-building-block	make-of,subfield,discipline,comprise-of,comprise,consist-of,is-create-out,is-ingredient-in,branch
consist-of	branch,is-ingredient-in,subfield,discipline
is-create-out	branch",subfield,is-ingredient-in,discipline
is-part-of	is-component-of,make-of,subfield,comprise-of,comprise,discipline,is-building-block,consist-of,is-create-out,is-ingredient-in,branch
is-ingredient-in	make-of,subfield,discipline,comprise-of,comprise,consist-of,is-create-out,branch
branch	is-component-of,make-of,comprise-of,comprise,is-building-block,consist-of,is-create-out,is-ingredient-in
