LEMMA	NOT-ENTAILED
plays-music	is-a-musician,who-is-a-musician,perform-concert,who-perform-concert,artist,singer,musician,star,artist-such,band,bands-such,singers-such,stars-such
who-plays	is-a-musician,who-is-a-musician,perform-concert,who-perform-concert,artist,singer,musician,star,artist-such,band,bands-such,singers-such,stars-such
is-a-musician	perform-concert,who-perform-concert,artist,singer,star,artist-such,band,bands-such,singers-such,stars-such
who-is-a-musician	perform-concert,who-perform-concert,artist,singer,star,artist-such,band,bands-such,singers-such,stars-such
plays	is-a-musician,who-is-a-musician,perform-concert,who-perform-concert,artist,singer,musician,star,artist-such,band,bands-such,singers-such,stars-such
perform-concert	is-a-musician,who-is-a-musician,who-perform-concert,artist,singer,musician,star,artist-such,band,bands-such,singers-such,stars-such
who-perform-concert	perform-concert,singer,star,band,bands-such,singers-such,stars-such
artist	perform-concert,who-perform-concert,singer,star,band,bands-such,singers-such,stars-such
singer	perform-concert,who-perform-concert,artist,star,artist-such,band,bands-such,stars-such
musician	perform-concert,who-perform-concert,artist,singer,star,artist-such,band,bands-such,singers-such,stars-such
star	perform-concert,who-perform-concert,singer,band,bands-such,singers-such
artist-such	perform-concert,who-perform-concert,singer,star,band,bands-such,singers-such,stars-such
band	who-plays,is-a-musician,who-is-a-musician,perform-concert,who-perform-concert,artist,singer,musician,star,artist-such,singers-such,stars-such
musicians	perform-concert,who-perform-concert,artist,singer,star,artist-such,band,bands-such,singers-such,stars-such
musicians-such	perform-concert,who-perform-concert,artist,singer,star,artist-such,band,bands-such,singers-such,stars-such
bands-such	is-a-musician,who-is-a-musician,perform-concert,who-perform-concert,artist,singer,musician,star,artist-such,singers-such,stars-such
singers-such	perform-concert,who-perform-concert,artist,star,artist-such,band,bands-such,stars-such
stars-such	perform-concert,who-perform-concert,singer,star,band,bands-such,singers-such
