LEMMA	NOT-ENTAILED
used-work	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
found-employment	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
was-employment	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
work-in	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
held-position	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
take-post	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
take-position	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
take-work	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
moved-work	establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
moved-for-position	establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
moved-for-post	establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
moved-for-work	establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
establish-foundation	moved-work,moved-for-position,moved-for-post,moved-for-work,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
run-company	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,found-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
found-company	moved-work,moved-for-position,moved-for-post,moved-for-work,establish-foundation,run-company,live-work-in,taught-in-uni,taught-in,rector-in,artist,writer,filmmaker,director
live-work-in	writer,filmmaker,director,artist,establish-foundation,run-company,found-company,taught-in,taught-in-uni,moved-work,rector-in,moved-for-work,moved-for-position,moved-for-post
taught-in-uni	writer,filmmaker,director,artist,establish-foundation,run-company,found-company,live-work-in,taught-in,moved-work,rector-in,moved-for-work,moved-for-position,moved-for-post
taught-in	writer,filmmaker,director,artist,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,moved-work,rector-in,moved-for-work,moved-for-position,moved-for-post
rector-in	writer,filmmaker,director,artist,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,moved-work,moved-for-work,moved-for-position,moved-for-post
artist	writer,filmmaker,director,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position,moved-for-post
writer	artist,filmmaker,director,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position,moved-for-post
filmmaker	writer,artist,director,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position,moved-for-post
director	writer,filmmaker,artist,establish-foundation,run-company,found-company,live-work-in,taught-in-uni,taught-in,rector-in,moved-work,moved-for-work,moved-for-position,moved-for-post
