LEMMA	NOT-ENTAILED
is-locate-in	is-lake-located-in-continent,part-of-continent,is-state-locate-in-continent,is-river-in-continent,is-locate-in-continent,is-country-locate-in-continent,is-lake-in-continent,belong-to-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
is-lake-located-in-continent	is-state-locate-in-continent,is-river-in-continent,is-locate-in-continent,is-country-locate-in-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
is-state-locate-in-continent	is-lake-located-in-continent,is-river-in-continent,is-lake-in-continent,is-mountain-located-in-continent,is-river-located-in-continent,is-mountain-in-continent
is-river-in-continent	is-lake-located-in-continent,is-state-locate-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-state-locate,is-country,is-country-locate
part-of-continent	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-locate-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
is-locate-in-continent	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
is-country-locate-in-continent	is-lake-located-in-continent,is-river-in-continent,is-lake-in-continent,is-mountain-located-in-continent,is-river-located-in-continent,is-mountain-in-continent
is-lake-in-continent	is-state-locate-in-continent,is-river-in-continent,is-locate-in-continent,is-country-locate-in-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
belong-to-continent	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
is-state	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-mountain-located-in-continent,is-river-located-in-continent,is-mountain-in-continent
is-mountain-located-in-continent	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-state,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
is-mountain-in-continent	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-state,is-river-located-in-continent,is-state-locate,is-country,is-country-locate
is-river-located-in-continent	is-lake-located-in-continent,is-state-locate-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-state,is-mountain-located-in-continent,is-mountain-in-continent,is-state-locate,is-country,is-country-locate
is-state-locate	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-mountain-located-in-continent,is-river-located-in-continent,is-mountain-in-continent
is-country	is-lake-located-in-continent,is-state-locate-in-continent,is-river-in-continent,is-country-locate-in-continent,is-lake-in-continent,is-mountain-located-in-continent,is-river-located-in-continent,is-mountain-in-continent
is-country-locate	is-lake-located-in-continent,is-river-in-continent,is-lake-in-continent,is-mountain-located-in-continent,is-river-located-in-continent,is-mountain-in-continent
