LEMMA	NOT-ENTAILED
-language-series	-language-film, -language-show, show-in-language, film-in-language
original-language-is	-language-film,-language-series,-language-show
language-is	-language-film,-language-series,-language-show
show-in-language	-language-film,-language-series,-language-show
is-language-of	-language-film,-language-series,-language-show
film-in-language	-language-film,-language-series,-language-show
-language-show	-language-film, series-in-language, -language-series, film-in-language
series-in-language	-language-film,-language-series,-language-show
-language-film	 -language-series, series-in-language,-language-show, show-in-language
was-language-of	-language-film,-language-series,-language-show
