LEMMA	NOT-ENTAILED
that-signed-to	-
artist-such	-
that-represented-by	-
was-signed-to	-
s-record-label	-
recorded-for	-
recording-artist	-
s-music-label	-
artist-including	-
label-colon	-
that-represented-by-record-label	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
that-representing	-
s-label-was	-
signed-up	-
represented-by-music-label	-
signed-with	-
which-represented-by-music-label	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
was-released-by	-
is-released-by	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
that-represented-by-music-label	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
represented-by-record-label	-
was-recorded-for	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
signed	-
that-signed-a	-
which-represented-by	-
representing	-
recorded-album	-
s-record-label-was	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
s-label	-
that-signed-with	-
released-by	-
s-music-label-was	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
signed-to	-
represented-by	-
signed-up-music-label	-
which-represented-by-record-label	that-signed-to,artist-such,that-represented-by,was-signed-to,s-record-label,recorded-for,recording-artist,s-music-label,artist-including,label-colon,s-label-was,signed-up,represented-by-music-label,signed-with,was-released-by,represented-by-record-label,signed,that-signed-a,which-represented-by,representing,recorded-album,s-label,that-signed-with,released-by,signed-to,represented-by,signed-up-music-label,that-representing,recorded-song
recorded-song	-
