LEMMA	NOT-ENTAILED
communicate	actress,author,actor,poet,composer,playwright,writer,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
actress	author,actor,poet,composer,playwright,writer,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
author	actress,actor,poet,composer,playwright,is-actress,is-actor,is-poet,is-composer,is-playwright,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-novelist,who-is-musician,who-is-philospher
actor	actress,author,poet,composer,playwright,writer,is-actress,is-author,is-poet,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
poet	actress,author,actor,composer,playwright,writer,is-actress,is-author,is-actor,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
composer	actress,author,actor,poet,playwright,writer,is-actress,is-author,is-actor,is-poet,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
playwright	actress,author,actor,poet,composer,is-actress,is-author,is-actor,is-poet,is-composer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-novelist,who-is-musician,who-is-philospher
writer	actress,author,actor,poet,composer,playwright,is-actress,is-author,is-actor,is-poet,is-composer,is-playwright,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-novelist,who-is-musician,who-is-philospher
is-actress	author,actor,poet,composer,playwright,writer,is-author,is-actor,is-poet,is-composer,is-playwright,is-writer,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-author,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-writer,who-is-novelist,who-is-musician,who-is-philospher
is-author	actress,actor,poet,composer,playwright,is-actress,is-actor,is-poet,is-composer,is-playwright,novelist,musician,philospher,is-novelist,is-musician,is-philospher,who-is-actress,who-is-actor,who-is-poet,who-is-composer,who-is-playwright,who-is-novelist,who-is-musician,who-is-philospher
