LEMMA	NOT-ENTAILED
was-construct-in	-
that-construct-in	-
was-form-in	-
begin-in	-
was-create-in	-
formulate-in	-
that-start-in	-
originate-in	-
that-begin-in	-
was-made-in	-
developed-in	-
start-in	-
was-begin-in	-
was-formulate-in	-
were-from	was-construct-in,that-construct-in,was-form-in,begin-in,was-create-in,formulate-in,that-start-in,originate-in,that-begin-in,was-made-in,developed-in,start-in,was-begin-in,was-formulate-in,that-made-in,that-form-in,was-from,was-start-in,form-in,create-in,that-create-in,made-in,construct-in,that-formulate-in,that-originate-in,that-developed-in,was-developed-in
that-made-in	-
that-form-in	-
was-from	-
was-start-in	-
form-in	-
create-in	-
that-create-in	-
made-in	-
construct-in	-
that-formulate-in	-
that-originate-in	-
that-developed-in	-
was-developed-in	-
